"ID","fk","DESCORGAO","IDORGAO","IDSUBORDINADOR","NIVEL","Subordinada","Unidade","Título","DESCORGAO_SUBORDINADOR"
"123341","503.935","Secretaria de Fiscalização de Educação, Áreas Sociais e Saúde Pública","935","503","1","SEASP","SEGECEX","503.935","Secretaria-Geral de Controle Externo"
"123342","552.963","Copa 7º Andar","963","552","2","Copa 7º Andar","SESAP","552.963","Secretaria de Engenharia e Serviços de Apoio"
"123343","280.66","Consultoria Jurídica","66","280","3","CJ","TCDF","280.66","Tribunal de Contas do Distrito Federal"
"123344","227.227","Serviço de Cadastro Funcional","227","227","4","SECAF","SECAF","227.227","Serviço de Cadastro Funcional"
"123345","682.958","Copa 2º Andar","958","682","3","Copa 2º Andar","SGA","682.958","Supervisão de Sistemas de Informação, Legislação e Jurisprudência"
"123346","503.503","Secretaria-Geral de Controle Externo","503","503","4","SEGECEX","SEGECEX","503.503","Secretaria-Geral de Controle Externo"
"123347","534.534","Membros e servidores inativos do TCDF","534","534","4","INATIVOS","INATIVOS","534.534","Membros e servidores inativos do TCDF"
"123348","549.549","Serviço de Desenvolvimento de Competências","549","549","4","SEDEC","SEDEC","549.549","Serviço de Desenvolvimento de Competências"
"123349","454.568","Service Desk TI - Serviço Terceirizado de Suporte ao Usuário de TI","568","454","3","ServiceDesk","STI","454.568","Secretaria de Tecnologia da Informação"
"123350","678.976","Primeira Divisão de Acompanhamento","976","678","3","DIACOMP1","PRESIDÊNCIA","678.976","Presidência"
"123351","543.689","Digitalização de Processos - SEGEDOC","689","543","2","DIGITALIZACAO","SEGEDAM","543.689","Secretaria-Geral de Administração"
"123352","602.602","Gab. Cons. Márcio Michel","602","602","4","GCMM","GCMM","602.602","Gab. Cons. Márcio Michel"
"123353","543.245","Serviço de Pagamento de Pessoal","245","543","2","SEPAG","SEGEDAM","543.245","Secretaria-Geral de Administração"
"123354","503.970","Primeira Divisão de Auditoria","970","503","2","DIAUD1","SEGECEX","503.970","Secretaria-Geral de Controle Externo"
"123355","581.581","Núcleo de Informações Estratégicas","581","581","4","NIE","NIE","581.581","Núcleo de Informações Estratégicas"
"123356","930.931","Quarta Divisão de Fiscalização de Gestão Pública, Infraestrutura, Mobilidade e Segurança Pública","931","930","1","DIGEM4","SEGEM","930.931","Secretaria de Fiscalização de Gestão Pública, Infraestrutura, Mobilidade e Segurança Pública"
"123357","280.307","Gab. Cons. Renato Rainha","307","280","2","GCRR","TCDF","280.307","Tribunal de Contas do Distrito Federal"
