"ID","fk","DESCORGAO","IDORGAO","IDSUBORDINADOR","NIVEL","Subordinada","Unidade","Título","DESCORGAO_SUBORDINADOR"
"123492","280.557","Serviço de Expedição de Mandados","557","280","3","SS/SEMAND","TCDF","280.557","Tribunal de Contas do Distrito Federal"
"123493","547.547","Supervisão de Planejamento da Contratação","547","547","4","SPC","SPC","547.547","Supervisão de Planejamento da Contratação"
"123494","280.1016","Serviço de Elaboração de Atos de Contas","1.016","280","3","SS/SERCON","TCDF","280.1016","Tribunal de Contas do Distrito Federal"
"123495","594.675","Supervisão de Ações Educacionais","675","594","2","SAED","ESCON","594.675","Escola de Contas Públicas"
"123496","149.149","GP - Assessoria Técnica","149","149","4","GPAT","GPAT","149.149","GP - Assessoria Técnica"
"123497","935.937","Primeira Divisão de Fiscalização de Educação, Áreas Sociais e Saúde Pública","937","935","1","DIASP1","SEASP","935.937","Secretaria de Fiscalização de Educação, Áreas Sociais e Saúde Pública"
"123498","552.1003","Copa Subsolo","1.003","552","2","Copa Subsolo","SESAP","552.1003","Secretaria de Engenharia e Serviços de Apoio"
"123499","682.988","Sala Segurança Patrimonial Subsolo","988","682","3","Segurança Patri","SGA","682.988","Supervisão de Sistemas de Informação, Legislação e Jurisprudência"
"123500","503.976","Primeira Divisão de Acompanhamento","976","503","2","DIACOMP1","SEGECEX","503.976","Secretaria-Geral de Controle Externo"
"123501","922.922","Quarta Divisão de Fiscalização de Educação, Áreas Sociais e Saúde Pública","922","922","4","DIASP4","DIASP4","922.922","Quarta Divisão de Fiscalização de Educação, Áreas Sociais e Saúde Pública"
"123502","678.227","Serviço de Cadastro Funcional","227","678","3","SECAF","PRESIDÊNCIA","678.227","Presidência"
"123503","544.243","Serviço de Execução Orçamentária","243","544","1","SEORC","SECOF","544.243","Secretaria de Contabilidade, Orçamento e Finanças "
"123504","543.839","Supervisão de Gestão de Contas Vinculadas, Atas de Registro de Preços e de  Garantias","839","543","3","SCV","SEGEDAM","543.839","Secretaria-Geral de Administração"
"123505","147.183","Setor de Atendimento ao Público","183","147","1","PUBLICO","GP","147.183","Gabinete da Presidência"
"123506","503.938","Segunda Divisão de Fiscalização de Educação, Áreas Sociais e Saúde Pública","938","503","2","DIASP2","SEGECEX","503.938","Secretaria-Geral de Controle Externo"
"123507","151.563","Gabinete da 4ª Procuradoria","563","151","1","G4P","GPG","151.563","Ministério Público junto ao TCDF"
"123508","678.674","Divisão de Auditoria de Programas e de Recursos Externos","674","678","3","DIAPREX","PRESIDÊNCIA","678.674","Presidência"
"123509","472.472","ARQUIVO CENTRAL - SPA","472","472","4","ARQCENTRAL","ARQCENTRAL","472.472","ARQUIVO CENTRAL - SPA"
"123510","563.563","Gabinete da 4ª Procuradoria","563","563","4","G4P","G4P","563.563","Gabinete da 4ª Procuradoria"
"123511","678.977","Segunda Divisão de Acompanhamento","977","678","3","DIACOMP2","PRESIDÊNCIA","678.977","Presidência"
"123512","678.148","GP - Assessoria Administrativa","148","678","2","GPAA","PRESIDÊNCIA","678.148","Presidência"
"123513","961.961","Copa 5º Andar","961","961","4","Copa 5º Andar","Copa 5º Andar","961.961","Copa 5º Andar"
"123514","543.549","Serviço de Desenvolvimento de Competências","549","543","2","SEDEC","SEGEDAM","543.549","Secretaria-Geral de Administração"
"123515","555.1009","Recepção ESCON","1.009","555","1","Recepção ESCON","SESOP","555.1009","Serviço de Segurança e Suporte Operacional"
"123516","543.227","Serviço de Cadastro Funcional","227","543","2","SECAF","SEGEDAM","543.227","Secretaria-Geral de Administração"
"123517","543.465","Depósito da Seção de Patrimônio","465","543","3","SEPAT/Dep","SEGEDAM","543.465","Secretaria-Geral de Administração"
"123518","503.932","Núcleo de Fiscalização de Projetos de Desestatização","932","503","2","NUFID","SEGECEX","503.932","Secretaria-Geral de Controle Externo"
"123519","986.986","Entrada Garagem Subsolo","986","986","4","Garagem","Garagem","986.986","Entrada Garagem Subsolo"
"123520","543.841","Supervisão de Desenvolvimento de Competências","841","543","3","SDC","SEGEDAM","543.841","Secretaria-Geral de Administração"
"123521","555.994","Portaria Servidor Anexo","994","555","1","Portaria Servid","SESOP","555.994","Serviço de Segurança e Suporte Operacional"
"123522","795.795","Coordenação de Inovação e Projetos Especiais","795","795","4","COIPE","COIPE","795.795","Coordenação de Inovação e Projetos Especiais"
"123523","941.941","Segunda Divisão de Fiscalização de Gestão Pública, Infraestrutura, Mobilidade e Segurança Pública","941","941","4","DIGEM2","DIGEM2","941.941","Segunda Divisão de Fiscalização de Gestão Pública, Infraestrutura, Mobilidade e Segurança Pública"
"123524","930.940","Primeira Divisão de Fiscalização de Gestão Pública, Infraestrutura, Mobilidade e Segurança Pública","940","930","1","DIGEM1","SEGEM","930.940","Secretaria de Fiscalização de Gestão Pública, Infraestrutura, Mobilidade e Segurança Pública"
"123525","638.843","Supervisão de Protocolo e Gestão de Acervo","843","638","1","SPGA","COGEDOC","638.843","Coordenadoria de Gestão de Documentos e Preservação da Memória Institucional"
"123526","667.932","Núcleo de Fiscalização de Projetos de Desestatização","932","667","1","NUFID","SESPE","667.932","Secretaria de Fiscalização Especializada"
"123527","649.649","Aposentados","649","649","4","APOSENTADOS","APOSENTADOS","649.649","Aposentados"
"123528","795.797","Gerência de Inteligência Competitiva","797","795","1","GEINCO","COIPE","795.797","Coordenação de Inovação e Projetos Especiais"
"123529","594.925","Coordenadoria de Educação Corporativa","925","594","1","CEDUC","ESCON","594.925","Escola de Contas Públicas"
"123530","679.679","Conselheiros","679","679","4","CONSELHEIROS","CONSELHEIROS","679.679","Conselheiros"
"123531","678.269","Secretaria das Sessões","269","678","1","SS/GAB","PRESIDÊNCIA","678.269","Presidência"
"123532","927.927","Supervisão de Legislação e Jurisprudência","927","927","4","SLJ","SLJ","927.927","Supervisão de Legislação e Jurisprudência"
"123533","926.927","Supervisão de Legislação e Jurisprudência","927","926","1","SLJ","CGCI","926.927","Coordenadoria de Gestão do Conhecimento Institucional"
"123534","917.954","Supervisão de Cadastro e Atendimento ao Beneficiário","954","917","1","SUCAD","DIBEM","917.954","Divisão de Qualidade de Vida e Bem-Estar"
"123535","818.818","Supervisão de Gestão dos Recursos Próprios","818","818","4","SUREP","SUREP","818.818","Supervisão de Gestão dos Recursos Próprios"
"123536","926.683","Supervisão de Disseminação de Informação e Gestão de Acervos","683","926","1","COBGI/SGA","CGCI","926.683","Coordenadoria de Gestão do Conhecimento Institucional"
"123537","935.938","Segunda Divisão de Fiscalização de Educação, Áreas Sociais e Saúde Pública","938","935","1","DIASP2","SEASP","935.938","Secretaria de Fiscalização de Educação, Áreas Sociais e Saúde Pública"
"123538","280.969","Secretaria de Auditoria","969","280","3","SEAUD","TCDF","280.969","Tribunal de Contas do Distrito Federal"
"123539","926.819","Supervisão de Gestão Contratual","819","926","3","SGC","CGCI","926.819","Coordenadoria de Gestão do Conhecimento Institucional"
"123540","678.917","Divisão de Qualidade de Vida e Bem-Estar","917","678","3","DIBEM","PRESIDÊNCIA","678.917","Presidência"
"123541","999.999","Sala de reunião Plenário","999","999","4","Sala de reunião","Sala de reunião","999.999","Sala de reunião Plenário"
"123542","955.955","Supervisão de Processamento de Reembolso e Finanças","955","955","4","SUPREF","SUPREF","955.955","Supervisão de Processamento de Reembolso e Finanças"
"123543","147.581","Núcleo de Informações Estratégicas","581","147","1","NIE","GP","147.581","Gabinete da Presidência"
"123544","548.528","Serviço de Gestão do Desempenho","528","548","1","SEGED","SEGEP","548.528","Secretaria de Gestão de Pessoas"
"123545","280.563","Gabinete da 4ª Procuradoria","563","280","2","G4P","TCDF","280.563","Tribunal de Contas do Distrito Federal"
"123546","509.509","3ª Divisão de Contas","509","509","4","DICONT3","DICONT3","509.509","3ª Divisão de Contas"
"123547","543.243","Serviço de Execução Orçamentária","243","543","2","SEORC","SEGEDAM","543.243","Secretaria-Geral de Administração"
"123548","980.980","Mensageria","980","980","4","MENSAGERIA","MENSAGERIA","980.980","Mensageria"
"123549","236.236","Serviço de Legislação de Pessoal","236","236","4","SELEG","SELEG","236.236","Serviço de Legislação de Pessoal"
"123550","280.381","Assessoria de Comunicação Institucional do TCDF (ASCOM)","381","280","3","ASCOM","TCDF","280.381","Tribunal de Contas do Distrito Federal"
"123551","678.972","Terceira Divisão de Auditoria","972","678","3","DIAUD3","PRESIDÊNCIA","678.972","Presidência"
"123552","544.232","Serviço de Execução Financeira","232","544","1","SEFIN","SECOF","544.232","Secretaria de Contabilidade, Orçamento e Finanças "
"123553","543.550","Supervisão de Proventos, Pensões e Benefícios","550","543","2","SPB","SEGEDAM","543.550","Secretaria-Geral de Administração"
"123554","594.682","Supervisão de Sistemas de Informação, Legislação e Jurisprudência","682","594","2","SGA","ESCON","594.682","Escola de Contas Públicas"
"123555","638.844","Supervisão de Preservação e Difusão da Memória Institucional","844","638","1","SPDMI","COGEDOC","638.844","Coordenadoria de Gestão de Documentos e Preservação da Memória Institucional"
"123556","243.243","Serviço de Execução Orçamentária","243","243","4","SEORC","SEORC","243.243","Serviço de Execução Orçamentária"
"123557","269.557","Serviço de Expedição de Mandados","557","269","1","SS/SEMAND","SS/GAB","269.557","Secretaria das Sessões"
"123558","280.524","Secretaria de Macroavaliação da Gestão Pública","524","280","3","SEMAG","TCDF","280.524","Tribunal de Contas do Distrito Federal"
"123559","1012.1012","Limpeza","1.012","1.012","4","Limpeza","Limpeza","1012.1012","Limpeza"
"123560","545.465","Depósito da Seção de Patrimônio","465","545","2","SEPAT/Dep","SELIP","545.465","Secretaria de Licitação, Material e Patrimônio"
"123561","543.578","Supervisão de Remunerações, Proventos e Pensões","578","543","3","SRPP","SEGEDAM","543.578","Secretaria-Geral de Administração"
"123562","678.236","Serviço de Legislação de Pessoal","236","678","3","SELEG","PRESIDÊNCIA","678.236","Presidência"
"123563","503.941","Segunda Divisão de Fiscalização de Gestão Pública, Infraestrutura, Mobilidade e Segurança Pública","941","503","2","DIGEM2","SEGECEX","503.941","Secretaria-Geral de Controle Externo"
"123564","1004.1004","Copa Plenário","1.004","1.004","4","Copa Plenário","Copa Plenário","1004.1004","Copa Plenário"
"123565","682.1007","Controle de Veículos","1.007","682","3","Controle de Veí","SGA","682.1007","Supervisão de Sistemas de Informação, Legislação e Jurisprudência"
"123566","543.543","Secretaria-Geral de Administração","543","543","4","SEGEDAM","SEGEDAM","543.543","Secretaria-Geral de Administração"
"123567","960.960","Copa 4º Andar","960","960","4","Copa 4º Andar","Copa 4º Andar","960.960","Copa 4º Andar"
"123568","280.506","Secretaria de Contas","506","280","3","SECONT","TCDF","280.506","Tribunal de Contas do Distrito Federal"
"123569","454.454","Secretaria de Tecnologia da Informação","454","454","4","STI","STI","454.454","Secretaria de Tecnologia da Informação"
"123570","468.468","Divisão de Controle Interno","468","468","4","DCI","DCI","468.468","Divisão de Controle Interno"
"123571","544.228","Serviço de Contabilidade","228","544","1","SECON","SECOF","544.228","Secretaria de Contabilidade, Orçamento e Finanças "
"123572","678.524","Secretaria de Macroavaliação da Gestão Pública","524","678","2","SEMAG","PRESIDÊNCIA","678.524","Presidência"
"123573","612.612","Gabinete da 1ª Procuradoria","612","612","4","G1P","G1P","612.612","Gabinete da 1ª Procuradoria"
"123574","543.528","Serviço de Gestão do Desempenho","528","543","2","SEGED","SEGEDAM","543.528","Secretaria-Geral de Administração"
"123575","280.923","Núcleo de Excelência em Gestão","923","280","3","NEG","TCDF","280.923","Tribunal de Contas do Distrito Federal"
"123576","503.942","Terceira Divisão de Fiscalização de Gestão Pública, Infraestrutura, Mobilidade e Segurança Pública","942","503","2","DIGEM3","SEGECEX","503.942","Secretaria-Geral de Controle Externo"
"123577","1042.1042","Secretaria Adjunta de Dados, Inovação e Fiscalização","1.042","1.042","4","SEADIF","SEADIF","1042.1042","Secretaria Adjunta de Dados, Inovação e Fiscalização"
"123578","454.797","Gerência de Inteligência Competitiva","797","454","2","GEINCO","STI","454.797","Secretaria de Tecnologia da Informação"
"123579","1049.1050","Serviço de Documentos Digitais e Proteção de Dados","1.050","1.049","1","SEDIGI","SEGEDOC","1049.1050","Secretaria de Gestão de Documentos e da Informação"
"123580","280.148","GP - Assessoria Administrativa","148","280","3","GPAA","TCDF","280.148","Tribunal de Contas do Distrito Federal"
"123581","543.918","Supervisão do Programa Saúde TCDF","918","543","3","SUPROG","SEGEDAM","543.918","Secretaria-Geral de Administração"
"123582","678.544","Secretaria de Contabilidade, Orçamento e Finanças ","544","678","2","SECOF","PRESIDÊNCIA","678.544","Presidência"
"123583","682.547","Supervisão de Planejamento da Contratação","547","682","2","SPC","SGA","682.547","Supervisão de Sistemas de Informação, Legislação e Jurisprudência"
"123584","280.916","Secretaria de Saúde, Qualidade de Vida e Bem-Estar","916","280","3","SESBE","TCDF","280.916","Tribunal de Contas do Distrito Federal"
"123585","555.956","COPA DO 1º ANDAR DO EDIFÍCIO ANEXO","956","555","1","COPA1ANEXO","SESOP","555.956","Serviço de Segurança e Suporte Operacional"
"123586","555.963","Copa 7º Andar","963","555","1","Copa 7º Andar","SESOP","555.963","Serviço de Segurança e Suporte Operacional"
"123587","543.579","Supervisão de Benefícios, Consignações e Obrigações Patronais","579","543","3","SBCOP","SEGEDAM","543.579","Secretaria-Geral de Administração"
"123588","503.973","Quarta Divisão de Auditoria","973","503","2","DIAUD4","SEGECEX","503.973","Secretaria-Geral de Controle Externo"
"123589","842.842","Supervisão do Sistema de Gestão de Documentos","842","842","4","SSGD","SSGD","842.842","Supervisão do Sistema de Gestão de Documentos"
"123590","280.851","Assessoria Especial em Assuntos Tecnológicos","851","280","3","AEATEC","TCDF","280.851","Tribunal de Contas do Distrito Federal"
"123591","678.66","Consultoria Jurídica","66","678","2","CJ","PRESIDÊNCIA","678.66","Presidência"
"123592","555.1004","Copa Plenário","1.004","555","1","Copa Plenário","SESOP","555.1004","Serviço de Segurança e Suporte Operacional"
"123593","844.844","Supervisão de Preservação e Difusão da Memória Institucional","844","844","4","SPDMI","SPDMI","844.844","Supervisão de Preservação e Difusão da Memória Institucional"
"123594","552.1002","Sala de Transmissão","1.002","552","2","Sala de Transmi","SESAP","552.1002","Secretaria de Engenharia e Serviços de Apoio"
"123595","552.988","Sala Segurança Patrimonial Subsolo","988","552","2","Segurança Patri","SESAP","552.988","Secretaria de Engenharia e Serviços de Apoio"
"123596","280.853","Serviço de Expedição e Plenário","853","280","3","SS/SEXP","TCDF","280.853","Tribunal de Contas do Distrito Federal"
"123597","555.966","Copa 2º Andar SEDE","966","555","1","Copa 2º Andar S","SESOP","555.966","Serviço de Segurança e Suporte Operacional"
"123598","552.819","Supervisão de Gestão Contratual","819","552","1","SGC","SESAP","552.819","Secretaria de Engenharia e Serviços de Apoio"
"123599","678.788","Coordenação de Sistemas e Processos","788","678","2","COSIP","PRESIDÊNCIA","678.788","Presidência"
"123600","555.957","Copa 1º Andar","957","555","1","Copa 1º Andar","SESOP","555.957","Serviço de Segurança e Suporte Operacional"
"123601","682.254","Serviço de Transportes","254","682","2","SETRA","SGA","682.254","Supervisão de Sistemas de Informação, Legislação e Jurisprudência"
"123602","923.923","Núcleo de Excelência em Gestão","923","923","4","NEG","NEG","923.923","Núcleo de Excelência em Gestão"
"123603","678.928","Supervisão de Biblioteca e de Disseminação do Conhecimento","928","678","3","SBDC","PRESIDÊNCIA","678.928","Presidência"
"123604","552.960","Copa 4º Andar","960","552","2","Copa 4º Andar","SESAP","552.960","Secretaria de Engenharia e Serviços de Apoio"
"123605","678.937","Primeira Divisão de Fiscalização de Educação, Áreas Sociais e Saúde Pública","937","678","3","DIASP1","PRESIDÊNCIA","678.937","Presidência"
"123606","937.937","Primeira Divisão de Fiscalização de Educação, Áreas Sociais e Saúde Pública","937","937","4","DIASP1","DIASP1","937.937","Primeira Divisão de Fiscalização de Educação, Áreas Sociais e Saúde Pública"
"123607","552.990","Brigada de Incêndio","990","552","2","BRIGADA","SESAP","552.990","Secretaria de Engenharia e Serviços de Apoio"
"123608","956.956","COPA DO 1º ANDAR DO EDIFÍCIO ANEXO","956","956","4","COPA1ANEXO","COPA1ANEXO","956.956","COPA DO 1º ANDAR DO EDIFÍCIO ANEXO"
"123609","543.844","Supervisão de Preservação e Difusão da Memória Institucional","844","543","2","SPDMI","SEGEDAM","543.844","Secretaria-Geral de Administração"
"123610","678.817","Supervisão de Análise de Faturas e Reembolso","817","678","3","SUFAT","PRESIDÊNCIA","678.817","Presidência"
"123611","555.965","Copa 1º Andar SEDE","965","555","1","Copa 1º Andar S","SESOP","555.965","Serviço de Segurança e Suporte Operacional"
"123612","671.671","Primeira Divisão de Fiscalização de Pessoal","671","671","4","DIFIPE1","DIFIPE1","671.671","Primeira Divisão de Fiscalização de Pessoal"
"123613","788.789","Gerência de Sistemas Corporativos","789","788","1","GESICO","COSIP","788.789","Coordenação de Sistemas e Processos"
"123614","543.232","Serviço de Execução Financeira","232","543","2","SEFIN","SEGEDAM","543.232","Secretaria-Geral de Administração"
"123615","552.964","Copa 8º Andar","964","552","2","Copa 8º Andar","SESAP","552.964","Secretaria de Engenharia e Serviços de Apoio"
"123616","543.246","Serviço de Patrimônio","246","543","2","SEPAT","SEGEDAM","543.246","Secretaria-Geral de Administração"
"123617","381.381","Assessoria de Comunicação Institucional do TCDF (ASCOM)","381","381","4","ASCOM","ASCOM","381.381","Assessoria de Comunicação Institucional do TCDF (ASCOM)"
"123618","926.682","Supervisão de Sistemas de Informação, Legislação e Jurisprudência","682","926","1","SGA","CGCI","926.682","Coordenadoria de Gestão do Conhecimento Institucional"
"123619","552.982","Recepção Hall Norte 8° Andar","982","552","2","Recepção Hall N","SESAP","552.982","Secretaria de Engenharia e Serviços de Apoio"
"123620","930.930","Secretaria de Fiscalização de Gestão Pública, Infraestrutura, Mobilidade e Segurança Pública","930","930","4","SEGEM","SEGEM","930.930","Secretaria de Fiscalização de Gestão Pública, Infraestrutura, Mobilidade e Segurança Pública"
"123621","678.673","Terceira Divisão de Fiscalização de Pessoal","673","678","3","DIFIPE3","PRESIDÊNCIA","678.673","Presidência"
"123622","552.1008","Guarita Garagem","1.008","552","2","Guarita Garagem","SESAP","552.1008","Secretaria de Engenharia e Serviços de Apoio"
"123623","678.596","Supervisão de Seleção, Lotação e Estágios","596","678","3","SUSEL","PRESIDÊNCIA","678.596","Presidência"
"123624","799.799","Primeira Divisão de Fiscalização de Obras e Serviços de Engenharia","799","799","4","DIFO1","DIFO1","799.799","Primeira Divisão de Fiscalização de Obras e Serviços de Engenharia"
"123625","578.578","Supervisão de Remunerações, Proventos e Pensões","578","578","4","SRPP","SRPP","578.578","Supervisão de Remunerações, Proventos e Pensões"
"123626","678.979","Quarta Divisão de Acompanhamento","979","678","3","DIACOMP4","PRESIDÊNCIA","678.979","Presidência"
"123627","559.559","Supervisão de Sistemas de Informação","559","559","4","SSI","SSI","559.559","Supervisão de Sistemas de Informação"
"123628","678.228","Serviço de Contabilidade","228","678","3","SECON","PRESIDÊNCIA","678.228","Presidência"
"123629","935.935","Secretaria de Fiscalização de Educação, Áreas Sociais e Saúde Pública","935","935","4","SEASP","SEASP","935.935","Secretaria de Fiscalização de Educação, Áreas Sociais e Saúde Pública"
"123630","925.924","Supervisão de Fomento à Pesquisa, Cultura e Inovação","924","925","1","SIPEC","CEDUC","925.924","Coordenadoria de Educação Corporativa"
"123631","916.1057","Supervisão de Programas de Saúde Integral ","1.057","916","2","SUPSI","SESBE","916.1057","Secretaria de Saúde, Qualidade de Vida e Bem-Estar"
"123632","678.507","1ª Divisão de Contas","507","678","3","DICONT1","PRESIDÊNCIA","678.507","Presidência"
"123633","678.818","Supervisão de Gestão dos Recursos Próprios","818","678","3","SUREP","PRESIDÊNCIA","678.818","Presidência"
"123634","682.993","Central Telefônica","993","682","2","PABX","SGA","682.993","Supervisão de Sistemas de Informação, Legislação e Jurisprudência"
"123635","951.951","COORDENADORIA DE FISCALIZAÇÃO REMOTA","951","951","4","COFIR","COFIR","951.951","COORDENADORIA DE FISCALIZAÇÃO REMOTA"
"123636","594.926","Coordenadoria de Gestão do Conhecimento Institucional","926","594","1","CGCI","ESCON","594.926","Escola de Contas Públicas"
"123637","679.460","Gab. Cons. Inácio Magalhães","460","679","1","GCIM","CONSELHEIROS","679.460","Conselheiros"
"123638","662.662","Terceira Divisão de Fiscalização de Áreas Sociais e Segurança Pública","662","662","4","DIASP3 (2019)","DIASP3 (2019)","662.662","Terceira Divisão de Fiscalização de Áreas Sociais e Segurança Pública"
"123639","775.775","Comitê Gestor de Proteção de Dados","775","775","4","CGPD","CGPD","775.775","Comitê Gestor de Proteção de Dados"
"123640","594.594","Escola de Contas Públicas","594","594","4","ESCON","ESCON","594.594","Escola de Contas Públicas"
"123641","678.842","Supervisão do Sistema de Gestão de Documentos","842","678","3","SSGD","PRESIDÊNCIA","678.842","Presidência"
"123642","678.672","Segunda Divisão de Fiscalização de Pessoal","672","678","3","DIFIPE2","PRESIDÊNCIA","678.672","Presidência"
"123643","840.1057","Supervisão de Programas de Saúde Integral ","1.057","840","1","SUPSI","DSAUD","840.1057","Divisão de Assistência Direta à Saúde"
"123644","454.793","Gerência de Infraestrutura Tecnológica","793","454","2","GEINT","STI","454.793","Secretaria de Tecnologia da Informação"
"123645","1039.1039","Secretaria Adjunta de Recursos e Estudos","1.039","1.039","4","SEARES","SEARES","1039.1039","Secretaria Adjunta de Recursos e Estudos"
"123646","795.568","Service Desk TI - Serviço Terceirizado de Suporte ao Usuário de TI","568","795","2","ServiceDesk","COIPE","795.568","Coordenação de Inovação e Projetos Especiais"
"123647","926.254","Serviço de Transportes","254","926","3","SETRA","CGCI","926.254","Coordenadoria de Gestão do Conhecimento Institucional"
"123648","966.966","Copa 2º Andar SEDE","966","966","4","Copa 2º Andar S","Copa 2º Andar S","966.966","Copa 2º Andar SEDE"
"123649","964.964","Copa 8º Andar","964","964","4","Copa 8º Andar","Copa 8º Andar","964.964","Copa 8º Andar"
"123650","917.917","Divisão de Qualidade de Vida e Bem-Estar","917","917","4","DIBEM","DIBEM","917.917","Divisão de Qualidade de Vida e Bem-Estar"
"123651","678.689","Digitalização de Processos - SEGEDOC","689","678","3","DIGITALIZACAO","PRESIDÊNCIA","678.689","Presidência"
"123652","1006.1006","Assessoria","1.006","1.006","4","Assessoria","Assessoria","1006.1006","Assessoria"
"123653","454.1000","SALA DE CONSOLIDAÇÃO DE ATIVOS DE REDE","1.000","454","1","SALA DE CONSOLI","STI","454.1000","Secretaria de Tecnologia da Informação"
"123654","841.841","Supervisão de Desenvolvimento de Competências","841","841","4","SDC","SDC","841.841","Supervisão de Desenvolvimento de Competências"
"123655","916.918","Supervisão do Programa Saúde TCDF","918","916","2","SUPROG","SESBE","916.918","Secretaria de Saúde, Qualidade de Vida e Bem-Estar"
"123656","679.307","Gab. Cons. Renato Rainha","307","679","1","GCRR","CONSELHEIROS","679.307","Conselheiros"
"123657","917.919","Serviço de Saúde e Segurança Ocupacional e de Qualidade de Vida","919","917","1","SESOC","DIBEM","917.919","Divisão de Qualidade de Vida e Bem-Estar"
"123658","969.971","Segunda Divisão de Auditoria","971","969","1","DIAUD2","SEAUD","969.971","Secretaria de Auditoria"
"123659","972.972","Terceira Divisão de Auditoria","972","972","4","DIAUD3","DIAUD3","972.972","Terceira Divisão de Auditoria"
"123660","967.967","Divisão de Fiscalização de Projetos de Desestatização","967","967","4","DIFID","DIFID","967.967","Divisão de Fiscalização de Projetos de Desestatização"
"123661","506.929","Coordenadoria de Acompanhamento de Débitos e Multas","929","506","1","CADEM","SECONT","506.929","Secretaria de Contas"
"123662","553.1001","Sala de som","1.001","553","1","Sala de som","SEMAN ","553.1001","Serviço de Manutenção"
"123663","503.977","Segunda Divisão de Acompanhamento","977","503","2","DIACOMP2","SEGECEX","503.977","Secretaria-Geral de Controle Externo"
"123664","555.982","Recepção Hall Norte 8° Andar","982","555","1","Recepção Hall N","SESOP","555.982","Serviço de Segurança e Suporte Operacional"
"123665","990.990","Brigada de Incêndio","990","990","4","BRIGADA","BRIGADA","990.990","Brigada de Incêndio"
"123666","555.555","Serviço de Segurança e Suporte Operacional","555","555","4","SESOP","SESOP","555.555","Serviço de Segurança e Suporte Operacional"
"123667","678.559","Supervisão de Sistemas de Informação","559","678","3","SSI","PRESIDÊNCIA","678.559","Presidência"
"123668","678.816","Supervisão de Credenciamento, Contratos e Convênios","816","678","3","SUCRED","PRESIDÊNCIA","678.816","Presidência"
"123669","638.842","Supervisão do Sistema de Gestão de Documentos","842","638","1","SSGD","COGEDOC","638.842","Coordenadoria de Gestão de Documentos e Preservação da Memória Institucional"
"123670","552.981","Recepção Hall Norte 7° Andar","981","552","2","Recepção Hall N","SESAP","552.981","Secretaria de Engenharia e Serviços de Apoio"
"123671","797.797","Gerência de Inteligência Competitiva","797","797","4","GEINCO","GEINCO","797.797","Gerência de Inteligência Competitiva"
"123672","916.816","Supervisão de Credenciamento, Contratos e Convênios","816","916","1","SUCRED","SESBE","916.816","Secretaria de Saúde, Qualidade de Vida e Bem-Estar"
"123673","1007.1007","Controle de Veículos","1.007","1.007","4","Controle de Veí","Controle de Veí","1007.1007","Controle de Veículos"
"123674","1011.1011","Sala dos Motoristas ESCON","1.011","1.011","4","Sala dos Motori","Sala dos Motori","1011.1011","Sala dos Motoristas ESCON"
"123675","975.978","Terceira Divisão de Acompanhamento","978","975","1","DIACOMP3","SEACOMP","975.978","Secretaria de Acompanhamento"
"123676","678.684","Supervisão de Sistemas de Informação, Legislação e Jurisprudência.","684","678","3","COBGI/SSI","PRESIDÊNCIA","678.684","Presidência"
"123677","1002.1002","Sala de Transmissão","1.002","1.002","4","Sala de Transmi","Sala de Transmi","1002.1002","Sala de Transmissão"
"123678","678.660","Primeira Divisão de Fiscalização de Áreas Sociais e Segurança Pública","660","678","3","DIASP1 (2019)","PRESIDÊNCIA","678.660","Presidência"
"123679","988.988","Sala Segurança Patrimonial Subsolo","988","988","4","Segurança Patri","Segurança Patri","988.988","Sala Segurança Patrimonial Subsolo"
"123680","555.964","Copa 8º Andar","964","555","1","Copa 8º Andar","SESOP","555.964","Serviço de Segurança e Suporte Operacional"
"123681","280.602","Gab. Cons. Márcio Michel","602","280","2","GCMM","TCDF","280.602","Tribunal de Contas do Distrito Federal"
"123682","789.904","Ateliê de Software","904","789","1","ATELIE","GESICO","789.904","Gerência de Sistemas Corporativos"
"123683","548.549","Serviço de Desenvolvimento de Competências","549","548","1","SEDEC","SEGEP","548.549","Secretaria de Gestão de Pessoas"
"123684","682.963","Copa 7º Andar","963","682","3","Copa 7º Andar","SGA","682.963","Supervisão de Sistemas de Informação, Legislação e Jurisprudência"
"123685","678.970","Primeira Divisão de Auditoria","970","678","3","DIAUD1","PRESIDÊNCIA","678.970","Presidência"
"123686","503.979","Quarta Divisão de Acompanhamento","979","503","2","DIACOMP4","SEGECEX","503.979","Secretaria-Geral de Controle Externo"
"123687","935.922","Quarta Divisão de Fiscalização de Educação, Áreas Sociais e Saúde Pública","922","935","1","DIASP4","SEASP","935.922","Secretaria de Fiscalização de Educação, Áreas Sociais e Saúde Pública"
"123688","555.962","Copa 6º Andar","962","555","1","Copa 6º Andar","SESOP","555.962","Serviço de Segurança e Suporte Operacional"
"123689","792.792","Gerência de Arquitetura de Software","792","792","4","GEAS","GEAS","792.792","Gerência de Arquitetura de Software"
